,osmid,y,x,street_count,highway,ref
39524,6280527874,51.5516134,-0.1481886,3,,
39525,6280527878,51.5520408,-0.148614,3,,
39526,6280527879,51.5521019,-0.1488075,3,,
39527,6280527881,51.5518065,-0.149394,3,,
39528,6283663707,51.5107479,-0.0693866,1,,
39529,6283663708,51.5092959,-0.0686887,3,,
39530,6283663709,51.5091884,-0.0692559,1,,
39531,6283726171,51.5474343,-0.0724234,4,,
39532,6283726172,51.5474284,-0.0717687,4,,
39533,6283727544,51.5623604,-0.0835759,4,,
39534,6283735973,51.5275485,-0.1362128,4,,
39535,6285364002,51.4798547,-0.0598504,3,,
39536,6285403026,51.5114714,-0.0567749,1,,
39537,6285403659,51.5115543,-0.0562543,1,,
39538,6286698325,51.5284117,-0.1047122,3,,
39539,6287138677,51.5169007,-0.118838,3,,
39540,6287175775,51.5113613,-0.1189221,1,,
39541,6288147785,51.5140498,-0.0812635,3,,
39542,6290439341,51.5153864,-0.0688794,3,,
39543,6290480059,51.4805673,-0.1325842,3,,
39544,6290601200,51.5503298,-0.0980926,3,,
39545,6290601201,51.5503329,-0.0975353,1,,
39546,6290601202,51.550579,-0.0976409,1,,
39547,6290601203,51.5503564,-0.0976139,3,,
39548,6290628118,51.5209731,-0.194928,3,,
39549,6290628119,51.5211008,-0.1950082,3,,
39550,6290628122,51.5224565,-0.1978454,1,,
39551,6293128709,51.5142639,-0.1065153,1,,
39552,6293180763,51.516399,-0.074042,3,,
39553,6294214897,51.514759,-0.0761319,3,,
39554,6294214898,51.514864,-0.0762741,3,,
39555,6295492761,51.516679,-0.1498615,1,,
39556,6296639138,51.5221453,-0.1577062,4,crossing,
39557,6297616376,51.4970999,-0.1142635,1,,
39558,6297616381,51.4970418,-0.1143405,1,,
39559,6297799650,51.4988761,-0.1124913,6,crossing,
39560,6297799658,51.4989233,-0.1123015,1,,
39561,6297799659,51.4988378,-0.1126456,1,,
39562,6298060093,51.5117483,-0.1976672,1,,
39563,6298060100,51.5117442,-0.1978214,1,,
39564,6298092942,51.5241838,-0.1585262,4,crossing,
39565,6299385880,51.5056832,-0.1027622,1,,
39566,6299385881,51.5055408,-0.1026803,3,,
39567,6300256414,51.5236429,-0.0903809,1,,
39568,6300256415,51.5236964,-0.0900806,3,,
39569,6300256416,51.5235943,-0.0904253,1,,
39570,6300256417,51.5236751,-0.0900712,3,,
39571,6301880520,51.5096895,-0.0777577,3,,
39572,6301880521,51.5097527,-0.0777583,3,,
39573,6301880522,51.5096965,-0.0775433,3,,
39574,6301880523,51.5097618,-0.0775491,3,,
39575,6301894362,51.5231125,-0.157855,1,,
39576,6301924957,51.5242493,-0.1585336,4,,
39577,6301948477,51.5098927,-0.0789593,3,,
39578,6301948480,51.5101183,-0.0792235,3,,
39579,6302353033,51.525984,-0.1454535,3,,
39580,6302516748,51.5488386,-0.0555704,4,,
39581,6302549987,51.5112349,-0.1282657,4,,
39582,6304542328,51.5059985,-0.1011429,3,,
39583,6306180704,51.4879276,-0.1050734,3,,
39584,6306668881,51.5329004,-0.128116,4,,
39585,6306940325,51.4994294,-0.1920561,3,,
39586,6306940326,51.4991719,-0.1918821,3,,
39587,6306940327,51.4992368,-0.191672,1,,
39588,6306940328,51.5003976,-0.1931482,3,,
39589,6306940331,51.5005826,-0.192616,3,,
39590,6307073859,51.5095962,-0.1199692,3,,
39591,6307073860,51.5095202,-0.1199189,3,,
39592,6307073863,51.5094878,-0.1198883,3,,
39593,6307073866,51.5094524,-0.1198535,3,,
39594,6307210478,51.525984,-0.1457606,3,,
39595,6309349893,51.5243224,-0.1587111,4,crossing,
39596,6309349895,51.5242457,-0.1588057,1,,
39597,6309359455,51.526367,-0.1339654,1,,
39598,6309368988,51.5336446,-0.1268259,3,,
39599,6309368994,51.5307146,-0.1268611,3,,
39600,6309420802,51.4891216,-0.1799678,3,,
39601,6311039270,51.5097745,-0.1349735,1,,2
39602,6311518054,51.5092483,-0.1305478,3,,
39603,6311803558,51.5246869,-0.1435207,3,,
39604,6311803565,51.5247246,-0.1438897,3,,
39605,6311896112,51.5136114,-0.1558027,3,,
39606,6311920513,51.5256336,-0.1419304,3,crossing,
39607,6311925821,51.4869042,-0.1903534,1,,
39608,6312009979,51.5257175,-0.1616187,1,,
39609,6312010691,51.5257384,-0.1616189,3,,
39610,6312010696,51.5257259,-0.1615653,4,crossing,
39611,6312024921,51.5246193,-0.1581773,3,,
39612,6312026547,51.5225029,-0.1556604,4,crossing,
39613,6312027214,51.5226576,-0.155455,1,,
39614,6312027217,51.5225421,-0.1554483,3,,
39615,6312042614,51.5179992,-0.1538264,1,,
39616,6312042615,51.5180247,-0.1536889,3,,
